"","Week","Song","Artist","Year","mean.l","sd.l","median.l","min.l","max.l","range.l","mean.r","sd.r","median.r","min.r","max.r","range.r","decade"
"1","October 06","Half-Breed","Cher",1973,1.87881027966742,5250.29762617141,73,-27580,27364,54944,1.82530158730159,5249.87529824058,74,-28221,27439,55660,"old"
"2","April 07","The Night The Lights Went Out In Georgia","Vicki Lawrence",1973,-56.0744338624339,6700.96032077566,-54,-32768,32767,65535,31.9925064247921,6394.36433278606,43,-32768,32767,65535,"old"
"3","April 12","Aquarius/Let The Sunshine In","The 5th Dimension",1969,-61.7918478206097,4513.54026993455,-93,-25768,25977,51745,-61.6182197026959,4281.91378084153,-135,-22625,24551,47176,"old"
"4","September 28","Hey Jude","The Beatles",1968,-1.52093474426808,4050.96092100479,-21,-31394,29890,61284,1.03235021415974,5853.2689353446,-16,-31382,31933,63315,"old"
"5","December 07","Love Child","Diana Ross & The Supremes",1968,62.0385044091711,6031.4602211491,-42,-30430,31295,61725,56.0270798689846,5927.9118723407,-27,-31514,31615,63129,"old"
"6","February 25","Kind Of A Drag","The Buckinghams",1967,14.5517339380197,11293.8586110998,83,-32768,32767,65535,14.5517772738725,11293.8587347491,83,-32767,32767,65534,"old"
"7","October 24","I'll Be There","Jackson 5",1970,0.230407155454774,7550.51356500849,-106,-32505,32767,65272,-2.78164827412446,7026.18954281995,-77,-32768,32766,65534,"old"
"8","January 15","We Can Work It Out","The Beatles",1966,-8.2949977324263,4931.28869318965,12,-30793,29708,60501,-5.45310657596372,7696.00430401138,63,-32768,32767,65535,"old"
"9","September 20","Fame","David Bowie",1975,2.75361552028219,4754.64978644065,-14,-30437,31713,62150,2.96260216679264,3786.27213282698,-16,-26281,30694,56975,"old"
"10","October 22","Reach Out I'll Be There","Four Tops",1966,91.7957157974301,9652.33083380481,-110,-32768,32767,65535,91.7956442428823,9652.330873861,-110,-32767,32767,65534,"old"
"11","March 10","Stronger (What Doesn't Kill You)","Kelly Clarkson",2012,6.13272461577223,9439.74319515039,-85,-32768,32767,65535,5.0087044595616,9452.34809805782,-76,-32768,32767,65535,"new"
"12","September 24","Moves Like Jagger","Maroon 5 Featuring Christina Aguilera",2011,-4.20078609221466,9430.34837097937,-50,-32768,32767,65535,-1.93173645754598,9719.90489981836,-56,-32768,32767,65535,"new"
"13","December 29","No One","Alicia Keys",2007,0.128994205089443,5837.67216976363,61,-28925,25257,54182,-0.184118921642731,5776.9814551071,35,-27428,26013,53441,"new"
"14","June 30","Umbrella","Rihanna Featuring Jay-Z",2007,2.17041975308642,3465.81336494323,-36,-15975,16742,32717,3.39738876291257,3377.29695836851,-28,-16672,16566,33238,"new"
"15","September 08","Big Girls Don't Cry","Fergie",2007,-0.958374905517763,6420.58270960092,42,-32768,32767,65535,-3.2014532627866,6738.70906771083,39,-32768,32767,65535,"new"
"16","January 07","Don't Forget About Us","Mariah Carey",2006,1.84287528344671,3179.86870584112,2,-17235,14828,32063,1.68330360292265,3186.32301567224,4,-16578,15777,32355,"new"
"17","June 06","Boom Boom Pow","The Black Eyed Peas",2009,-7.41270697908793,4742.78056668949,-50,-20138,20245,40383,-7.60321844293273,4744.67534903794,-52,-20088,20207,40295,"new"
"18","December 25","Drop It Like It's Hot","Snoop Dogg Featuring Pharrell",2004,-0.357669942050894,2358.60037153821,8,-16018,15718,31736,0.447524313429075,1953.21608163569,8,-14599,15077,29676,"new"
"19","December 28","Say Something","A Great Big World & Christina Aguilera",2013,-0.80724111866969,4251.53946414076,-12,-29099,29650,58749,-0.880694381456286,4428.15291228869,-39,-28263,28996,57259,"new"
"20","September 10","We Belong Together","Mariah Carey",2005,-1.68848878810784,3581.47998065759,44,-21480,19890,41370,-2.32283799445704,3418.18285485827,41,-18780,18120,36900,"new"
